CHEMBL2017974	DB11666
CHEMBL506	DB01087
CHEMBL1743078	
CHEMBL2104967	DB12732
CHEMBL1200617	DB00896
CHEMBL70501	
CHEMBL553	DB00530
CHEMBL964	DB00822
CHEMBL1337960	
CHEMBL259784	
CHEMBL450613	DB11478
CHEMBL408	DB00197
CHEMBL587259	
CHEMBL366861	
CHEMBL511	DB06691
CHEMBL2108029	
CHEMBL893	DB00485
CHEMBL152028	
CHEMBL1256665	
CHEMBL4297900	
CHEMBL210208	
CHEMBL2062264	
CHEMBL1095284	DB13266
CHEMBL192	DB00203
CHEMBL1095777	DB05039
CHEMBL90555	
CHEMBL572881	DB05575
CHEMBL1643880	DB12402
CHEMBL577660	
CHEMBL985	DB03904
CHEMBL511142	
CHEMBL2103975	
CHEMBL278398	DB01619
CHEMBL160	DB00091
CHEMBL1095	DB00754
CHEMBL1272307	DB14822
CHEMBL49120	
CHEMBL483	DB14126
CHEMBL7301	DB05076
CHEMBL532412	
CHEMBL12	DB00829
CHEMBL507	
CHEMBL585502	
CHEMBL13	DB00264
CHEMBL1922094	DB12180
CHEMBL939	DB00317
CHEMBL2109485	
CHEMBL430060	
CHEMBL1201631	
CHEMBL460273	
CHEMBL1725279	DB01782
CHEMBL375530	DB08473
CHEMBL8809	DB12518
CHEMBL1303948	
CHEMBL227934	
CHEMBL35084	DB00616
CHEMBL1201830	
CHEMBL1333653	
CHEMBL1887067	
CHEMBL180917	
CHEMBL1976040	DB11740
CHEMBL14830	
CHEMBL39071	
CHEMBL1743068	
CHEMBL191083	DB08167
CHEMBL378544	
CHEMBL1366408	
CHEMBL16	DB00252
CHEMBL2105059	DB09285
CHEMBL3188267	DB11791
CHEMBL2108628	
CHEMBL34259	DB00563
CHEMBL555196	
CHEMBL3186534	DB14765
CHEMBL6622	DB00883
CHEMBL3544974	DB06216
CHEMBL19215	DB13520
CHEMBL72365	
CHEMBL399491	
CHEMBL787	DB00471
CHEMBL499915	DB02329
CHEMBL3991065	
CHEMBL282724	DB06268
CHEMBL3353541	DB15406
CHEMBL428496	DB08059
CHEMBL418068	DB13174
CHEMBL76904	
CHEMBL4297850	
CHEMBL2359966	
CHEMBL1201832	
CHEMBL3545244	
CHEMBL1236682	DB06309
CHEMBL422872	
CHEMBL521	DB01050
CHEMBL180570	DB14078
CHEMBL1341	DB01028
CHEMBL243712	DB06288
CHEMBL455004	
CHEMBL2346738	DB12733
CHEMBL1491	DB00381
CHEMBL54	DB00502
CHEMBL194014	DB14177
CHEMBL1200733	DB01189
CHEMBL592445	DB11896
CHEMBL8946	DB15492
CHEMBL1742993	
CHEMBL567597	
CHEMBL590927	
CHEMBL1274	DB00665
CHEMBL21731	DB00934
CHEMBL469912	DB08437
CHEMBL284838	DB12685
CHEMBL592124	
CHEMBL521686	DB09074
CHEMBL1961797	DB14014
CHEMBL589245	
CHEMBL591628	
